ID,status,PID,Weight,Title,Body,Documents,Categories,Tags,Group,Group Type,Topic,Geo,Date,Language,UID
wiki_page_1,1,,0,History,,doc_1,cat_jpl,tag_seizoen|tag_rsca,group_1,group,t_water,Sweden|Worldwide|Belgium,Before 1990,Portuguese,user_4
wiki_page_2,1,wiki_page_1,-10,2012-2013,,,cat_jpl,tag_seizoen|tag_rsca,group_1,group,t_water,Sweden|Worldwide,2012|2013,English,user_1
wiki_page_3,1,wiki_page_1,-15,2011-2012,,,cat_jpl,tag_seizoen|tag_rsca,group_1,group,t_water,Sweden|Worldwide,2011|2012,English,user_3
wiki_page_4,1,wiki_page_1,-16,2010-2011,,,cat_jpl,tag_seizoen|tag_rsca,group_1,group,t_water,Sweden|Worldwide,2010|2011,English,user_4
wiki_page_5,1,wiki_page_1,-17,2009-2010,,,cat_jpl,tag_seizoen|tag_rsca,group_1,group,t_water,Sweden|Worldwide,2009|2010,English,user_6
wiki_page_6,1,,0,Lusail Intro,,,cat_p_arch|cat_p_city|cat_p_art,tag_lusail,project_1,project,t_water,Sweden|Worldwide,,Arabic,user_2
wiki_page_7,1,,1,Lusail History,,,cat_p_arch|cat_p_city|cat_p_art,tag_lusail,project_1,project,t_water,Sweden|Worldwide,,Arabic,user_5
wiki_page_8,1,,2,Lusail Architecture (level 1),,,cat_p_arch|cat_p_city|cat_p_art,tag_lusail,project_1,project,t_water,Sweden|Worldwide,,Arabic,user_5
wiki_page_9,1,wiki_page_8,0,Lusail Soccer Stadium,,,cat_p_arch|cat_p_city|cat_p_art|cat_p_stadium,tag_lusail,project_1,project,t_water,Sweden|Worldwide,Before 2000|After 2020,Arabic|Chinese|Others,user_1
wiki_page_10,1,wiki_page_9,0,Lusail Soccer Stadium info (level 3),,,cat_p_arch|cat_p_city|cat_p_art|cat_p_stadium,tag_lusail,project_1,project,t_water,Sweden|Worldwide,Before 2000|After 2020,Arabic|Chinese|Others,user_1
wiki_page_11,1,wiki_page_10,0,Lusail (level 4),,,cat_p_arch|cat_p_city|cat_p_art|cat_p_stadium,tag_lusail,project_1,project,t_water,Sweden|Worldwide,Before 2000|After 2020,Arabic|Chinese|Others,user_1
wiki_page_12,1,wiki_page_11,0,Lusail (level 5),,,cat_p_arch|cat_p_city|cat_p_art|cat_p_stadium,tag_lusail,project_1,project,t_water,Sweden|Worldwide,Before 2000|After 2020,Arabic|Chinese|Others,user_1
wiki_page_13,1,,-20,History,"<p>Alfred Nobel (About this sound listen (help·info)) was born on 21 October 1833 in Stockholm, Sweden, into a family of engineers. He was a chemist, engineer, and inventor. In 1894, Nobel purchased the Bofors iron and steel mill, which he made into a major armaments manufacturer. Nobel also invented ballistite. This invention was a precursor to many smokeless military explosives, especially the British smokeless powder cordite. As a consequence of his patent claims, Nobel was eventually involved in a patent infringement lawsuit over cordite. Nobel amassed a fortune during his lifetime, with most of his wealth from his 355 inventions, of which dynamite is the most famous.</p><p>In 1888, Nobel was astonished to read his own obituary, titled The merchant of death is dead, in a French newspaper. As it was Alfred's brother Ludvig who had died, the obituary was eight years premature. The article disconcerted Nobel and made him apprehensive about how he would be remembered. This inspired him to change his will. On 10 December 1896, Alfred Nobel died in his villa in San Remo, Italy, from a cerebral haemorrhage. He was 63 years old.</p><p>Nobel wrote several wills during his lifetime. He composed the last over a year before he died, signing it at the Swedish–Norwegian Club in Paris on 27 November 1895. To widespread astonishment, Nobel's last will specified that his fortune be used to create a series of prizes for those who confer the 'greatest benefit on mankind' in physics, chemistry, peace, physiology or medicine, and literature. Nobel bequeathed 94% of his total assets, 31 million SEK (c. US$186 million, €150 million in 2008), to establish the five Nobel Prizes. Because of scepticism surrounding the will, it was not until 26 April 1897 that it was approved by the Storting in Norway. The executors of Nobel's will, Ragnar Sohlman and Rudolf Lilljequist, formed the Nobel Foundation to take care of Nobel's fortune and organise the award of prizes.</p><p>Nobel's instructions named a Norwegian Nobel Committee to award the Peace Prize, the members of whom were appointed shortly after the will was approved in April 1897. Soon thereafter, the other prize-awarding organisations were designated or established. These were Karolinska Institutet on 7 June, the Swedish Academy on 9 June, and the Royal Swedish Academy of Sciences on 11 June. The Nobel Foundation reached an agreement on guidelines for how the prizes should be awarded; and, in 1900, the Nobel Foundation's newly created statutes were promulgated by King Oscar II. In 1905, the personal union between Sweden and Norway was dissolved. Thereafter, Norway's Nobel Committee was responsible for awarding the Nobel Peace Prize and the Swedish institutions retained responsibility for the other prizes.</p>",,,,group_7,group,t_water,Sweden|Worldwide,,English,user_8
wiki_page_14,1,,-19,Award Process,"<p>The award process is similar for all of the Nobel Prizes; the main difference is in who can make nominations for each of them.</p>",,,,group_7,group,t_water,geo_1,,English,user_8
wiki_page_15,1,wiki_page_14,-20,Nominations,"<p>Nomination forms are sent by the Nobel Committee to about 3,000 individuals, usually in September the year before the prizes are awarded. These individuals are often academics working in a relevant area. For the Peace Prize, inquiries are sent to governments, members of international courts, professors and rectors, former Peace Prize laureates and current or former members of the Norwegian Nobel Committee. The deadline for the return of the nomination forms is 31 January of the year of the award. The Nobel Committee nominates about 300 potential laureates from these forms and additional names. The nominees are not publicly named, nor are they told that they are being considered for the prize. All nomination records for a prize are sealed for 50 years from the awarding of the prize.</p>",,,,group_7,group,t_water,Sweden|Worldwide,,English,user_8
wiki_page_16,1,wiki_page_14,-19,Selection,"<p>The Nobel Committee then prepares a report reflecting the advice of experts in the relevant fields. This, along with the list of preliminary candidates, is submitted to the prize-awarding institutions. The institutions meet to choose the laureate or laureates in each field by a majority vote. Their decision, which cannot be appealed, is announced immediately after the vote. A maximum of three laureates and two different works may be selected per award. Except for the Peace Prize, which can be awarded to institutions, the awards can only be given to individuals. If the Peace Prize is not awarded, the money is split among the scientific prizes. This has happened 19 times so far.</p>",,,,group_7,group,t_water,Sweden|Worldwide,,English,user_8
