ID,Parent,Name,Description,Group,Type
tag_rsca,,RSC Anderlecht,"",group_1,group
tag_seizoen,,2013-2014,"",group_1,group
tag_sharapova,,Maria Sharapova,"",group_2,group
tag_nadal,,Rafael Nadal,"",group_2,group
tag_triggerfinger,,Triggerfinger,,group_4,group
tag_doha,,Doha,,project_1,project
tag_pearl,,Qatar Pearl,,project_1,project
tag_lusail,,Lusail,,project_1,project
tag_zoo,,Zoo,,project_1,project
tag_sea,,Sea & Marine,,project_1,project
tag_g7_laureate,,"laureate",,group_7,group
tag_g7_medal,,"gold medal",,group_7,group
tag_g7_diploma,,"diploma",,group_7,group
tag_g7_money,,"money",,group_7,group
tag_g7_foundation,,"Nobel Foundation",,group_7,group
tag_g7_rules,,"rules",,group_7,group
tag_g7_ceremonies,,"ceremonies",,group_7,group
tag_g7_exhibition,,"Exhibition",,group_7,group
